sequence_path,class_id,folder_label,type
data\include50\augmented_train\MVI_4920_aug1.npy,27,54. Black,augmented_1
data\include50\augmented_train\MVI_4920_aug2.npy,27,54. Black,augmented_2
data\include50\augmented_train\MVI_4920_aug3.npy,27,54. Black,augmented_3
data\include50\sequences\Adjectives\83. big large\MVI_5123.npy,41,83. big large,original
data\include50\augmented_train\MVI_5123_aug1.npy,41,83. big large,augmented_1
data\include50\augmented_train\MVI_5123_aug2.npy,41,83. big large,augmented_2
data\include50\augmented_train\MVI_5123_aug3.npy,41,83. big large,augmented_3
data\include50\sequences\Home\40. Paint\MVI_4926.npy,17,40. Paint,original
data\include50\augmented_train\MVI_4926_aug1.npy,17,40. Paint,augmented_1
data\include50\augmented_train\MVI_4926_aug2.npy,17,40. Paint,augmented_2
data\include50\augmented_train\MVI_4926_aug3.npy,17,40. Paint,augmented_3
data\include50\sequences\Adjectives\1. loud\MVI_5257.npy,1,1. loud,original
data\include50\augmented_train\MVI_5257_aug1.npy,1,1. loud,augmented_1
data\include50\augmented_train\MVI_5257_aug2.npy,1,1. loud,augmented_2
data\include50\augmented_train\MVI_5257_aug3.npy,1,1. loud,augmented_3
data\include50\sequences\Means_of_Transportation\16. train ticket\MVI_3224.npy,4,16. train ticket,original
data\include50\augmented_train\MVI_3224_aug1.npy,4,16. train ticket,augmented_1
data\include50\augmented_train\MVI_3224_aug2.npy,4,16. train ticket,augmented_2
data\include50\augmented_train\MVI_3224_aug3.npy,4,16. train ticket,augmented_3
data\include50\sequences\Means_of_Transportation\11. Car\MVI_3239.npy,2,11. Car,original
data\include50\augmented_train\MVI_3239_aug1.npy,2,11. Car,augmented_1
data\include50\augmented_train\MVI_3239_aug2.npy,2,11. Car,augmented_2
data\include50\augmented_train\MVI_3239_aug3.npy,2,11. Car,augmented_3
data\include50\sequences\Electronics\53. Fan\MVI_4966.npy,26,53. Fan,original
data\include50\augmented_train\MVI_4966_aug1.npy,26,53. Fan,augmented_1
data\include50\augmented_train\MVI_4966_aug2.npy,26,53. Fan,augmented_2
data\include50\augmented_train\MVI_4966_aug3.npy,26,53. Fan,augmented_3
data\include50\sequences\Pronouns\46. you (plural)\MVI_0082.npy,21,46. you (plural),original
data\include50\augmented_train\MVI_0082_aug1.npy,21,46. you (plural),augmented_1
data\include50\augmented_train\MVI_0082_aug2.npy,21,46. you (plural),augmented_2
data\include50\augmented_train\MVI_0082_aug3.npy,21,46. you (plural),augmented_3
data\include50\sequences\Colours\54. Black\MVI_5060.npy,27,54. Black,original
data\include50\augmented_train\MVI_5060_aug1.npy,27,54. Black,augmented_1
data\include50\augmented_train\MVI_5060_aug2.npy,27,54. Black,augmented_2
data\include50\augmented_train\MVI_5060_aug3.npy,27,54. Black,augmented_3
data\include50\sequences\Adjectives\78. long\MVI_9219.npy,39,78. long,original
data\include50\augmented_train\MVI_9219_aug1.npy,39,78. long,augmented_1
data\include50\augmented_train\MVI_9219_aug2.npy,39,78. long,augmented_2
data\include50\augmented_train\MVI_9219_aug3.npy,39,78. long,augmented_3
data\include50\sequences\People\66. Brother\MVI_5243.npy,34,66. Brother,original
data\include50\augmented_train\MVI_5243_aug1.npy,34,66. Brother,augmented_1
data\include50\augmented_train\MVI_5243_aug2.npy,34,66. Brother,augmented_2
data\include50\augmented_train\MVI_5243_aug3.npy,34,66. Brother,augmented_3
data\include50\sequences\Places\23. Court\MVI_3366.npy,8,23. Court,original
data\include50\augmented_train\MVI_3366_aug1.npy,8,23. Court,augmented_1
data\include50\augmented_train\MVI_3366_aug2.npy,8,23. Court,augmented_2
data\include50\augmented_train\MVI_3366_aug3.npy,8,23. Court,augmented_3
data\include50\sequences\Seasons\61. Summer\MVI_5420.npy,32,61. Summer,original
data\include50\augmented_train\MVI_5420_aug1.npy,32,61. Summer,augmented_1
data\include50\augmented_train\MVI_5420_aug2.npy,32,61. Summer,augmented_2
data\include50\augmented_train\MVI_5420_aug3.npy,32,61. Summer,augmented_3
data\include50\sequences\People\78. Girl\MVI_4243.npy,37,78. Girl,original
data\include50\augmented_train\MVI_4243_aug1.npy,37,78. Girl,augmented_1
data\include50\augmented_train\MVI_4243_aug2.npy,37,78. Girl,augmented_2
data\include50\augmented_train\MVI_4243_aug3.npy,37,78. Girl,augmented_3
data\include50\sequences\Jobs\91. Priest\MVI_5344.npy,46,91. Priest,original
data\include50\augmented_train\MVI_5344_aug1.npy,46,91. Priest,augmented_1
data\include50\augmented_train\MVI_5344_aug2.npy,46,91. Priest,augmented_2
data\include50\augmented_train\MVI_5344_aug3.npy,46,91. Priest,augmented_3
data\include50\sequences\Adjectives\87. hot\MVI_9328.npy,45,87. hot,original
data\include50\augmented_train\MVI_9328_aug1.npy,45,87. hot,augmented_1
data\include50\augmented_train\MVI_9328_aug2.npy,45,87. hot,augmented_2
data\include50\augmented_train\MVI_9328_aug3.npy,45,87. hot,augmented_3
data\include50\sequences\Greetings\55. Thank you\MVI_0113.npy,29,55. Thank you,original
data\include50\augmented_train\MVI_0113_aug1.npy,29,55. Thank you,augmented_1
data\include50\augmented_train\MVI_0113_aug2.npy,29,55. Thank you,augmented_2
data\include50\augmented_train\MVI_0113_aug3.npy,29,55. Thank you,augmented_3
data\include50\sequences\Adjectives\83. big large\MVI_5285.npy,41,83. big large,original
data\include50\augmented_train\MVI_5285_aug1.npy,41,83. big large,augmented_1
data\include50\augmented_train\MVI_5285_aug2.npy,41,83. big large,augmented_2
data\include50\augmented_train\MVI_5285_aug3.npy,41,83. big large,augmented_3
data\include50\sequences\Greetings\48. Hello\MVI_9955.npy,23,48. Hello,original
data\include50\augmented_train\MVI_9955_aug1.npy,23,48. Hello,augmented_1
data\include50\augmented_train\MVI_9955_aug2.npy,23,48. Hello,augmented_2
data\include50\augmented_train\MVI_9955_aug3.npy,23,48. Hello,augmented_3
data\include50\sequences\Adjectives\78. long\MVI_5107.npy,39,78. long,original
data\include50\augmented_train\MVI_5107_aug1.npy,39,78. long,augmented_1
data\include50\augmented_train\MVI_5107_aug2.npy,39,78. long,augmented_2
data\include50\augmented_train\MVI_5107_aug3.npy,39,78. long,augmented_3
data\include50\sequences\Greetings\48. Hello\MVI_0029.npy,23,48. Hello,original
data\include50\augmented_train\MVI_0029_aug1.npy,23,48. Hello,augmented_1
data\include50\augmented_train\MVI_0029_aug2.npy,23,48. Hello,augmented_2
data\include50\augmented_train\MVI_0029_aug3.npy,23,48. Hello,augmented_3
data\include50\sequences\Means_of_Transportation\11. Car\MVI_4177.npy,2,11. Car,original
data\include50\augmented_train\MVI_4177_aug1.npy,2,11. Car,augmented_1
data\include50\augmented_train\MVI_4177_aug2.npy,2,11. Car,augmented_2
data\include50\augmented_train\MVI_4177_aug3.npy,2,11. Car,augmented_3
data\include50\sequences\Means_of_Transportation\11. Car\MVI_3174.npy,2,11. Car,original
data\include50\augmented_train\MVI_3174_aug1.npy,2,11. Car,augmented_1
data\include50\augmented_train\MVI_3174_aug2.npy,2,11. Car,augmented_2
data\include50\augmented_train\MVI_3174_aug3.npy,2,11. Car,augmented_3
data\include50\sequences\Home\28. Window\MVI_9013.npy,10,28. Window,original
data\include50\augmented_train\MVI_9013_aug1.npy,10,28. Window,augmented_1
data\include50\augmented_train\MVI_9013_aug2.npy,10,28. Window,augmented_2
data\include50\augmented_train\MVI_9013_aug3.npy,10,28. Window,augmented_3
data\include50\sequences\Colours\54. Black\MVI_3741.npy,27,54. Black,original
data\include50\augmented_train\MVI_3741_aug1.npy,27,54. Black,augmented_1
data\include50\augmented_train\MVI_3741_aug2.npy,27,54. Black,augmented_2
data\include50\augmented_train\MVI_3741_aug3.npy,27,54. Black,augmented_3
data\include50\sequences\Means_of_Transportation\16. train ticket\MVI_4193.npy,4,16. train ticket,original
data\include50\augmented_train\MVI_4193_aug1.npy,4,16. train ticket,augmented_1
data\include50\augmented_train\MVI_4193_aug2.npy,4,16. train ticket,augmented_2
data\include50\augmented_train\MVI_4193_aug3.npy,4,16. train ticket,augmented_3
data\include50\sequences\Home\28. Window\MVI_8766.npy,10,28. Window,original
data\include50\augmented_train\MVI_8766_aug1.npy,10,28. Window,augmented_1
data\include50\augmented_train\MVI_8766_aug2.npy,10,28. Window,augmented_2
data\include50\augmented_train\MVI_8766_aug3.npy,10,28. Window,augmented_3
data\include50\sequences\Pronouns\40. I\MVI_9957.npy,16,40. I,original
data\include50\augmented_train\MVI_9957_aug1.npy,16,40. I,augmented_1
data\include50\augmented_train\MVI_9957_aug2.npy,16,40. I,augmented_2
data\include50\augmented_train\MVI_9957_aug3.npy,16,40. I,augmented_3
data\include50\sequences\Means_of_Transportation\16. train ticket\MVI_3253.npy,4,16. train ticket,original
data\include50\augmented_train\MVI_3253_aug1.npy,4,16. train ticket,augmented_1
data\include50\augmented_train\MVI_3253_aug2.npy,4,16. train ticket,augmented_2
data\include50\augmented_train\MVI_3253_aug3.npy,4,16. train ticket,augmented_3
data\include50\sequences\Adjectives\94. good\MVI_9430.npy,48,94. good,original
data\include50\augmented_train\MVI_9430_aug1.npy,48,94. good,augmented_1
data\include50\augmented_train\MVI_9430_aug2.npy,48,94. good,augmented_2
data\include50\augmented_train\MVI_9430_aug3.npy,48,94. good,augmented_3
data\include50\sequences\Jobs\84. Teacher\MVI_5311.npy,42,84. Teacher,original
data\include50\augmented_train\MVI_5311_aug1.npy,42,84. Teacher,augmented_1
data\include50\augmented_train\MVI_5311_aug2.npy,42,84. Teacher,augmented_2
data\include50\augmented_train\MVI_5311_aug3.npy,42,84. Teacher,augmented_3
data\include50\sequences\Places\19. House\MVI_3351.npy,5,19. House,original
data\include50\augmented_train\MVI_3351_aug1.npy,5,19. House,augmented_1
data\include50\augmented_train\MVI_3351_aug2.npy,5,19. House,augmented_2
data\include50\augmented_train\MVI_3351_aug3.npy,5,19. House,augmented_3
data\include50\sequences\Adjectives\94. good\MVI_9270.npy,48,94. good,original
data\include50\augmented_train\MVI_9270_aug1.npy,48,94. good,augmented_1
data\include50\augmented_train\MVI_9270_aug2.npy,48,94. good,augmented_2
data\include50\augmented_train\MVI_9270_aug3.npy,48,94. good,augmented_3
data\include50\sequences\Adjectives\2. quiet\MVI_5339.npy,7,2. quiet,original
data\include50\augmented_train\MVI_5339_aug1.npy,7,2. quiet,augmented_1
data\include50\augmented_train\MVI_5339_aug2.npy,7,2. quiet,augmented_2
data\include50\augmented_train\MVI_5339_aug3.npy,7,2. quiet,augmented_3
data\include50\sequences\Adjectives\83. big large\MVI_9235.npy,41,83. big large,original
data\include50\augmented_train\MVI_9235_aug1.npy,41,83. big large,augmented_1
data\include50\augmented_train\MVI_9235_aug2.npy,41,83. big large,augmented_2
data\include50\augmented_train\MVI_9235_aug3.npy,41,83. big large,augmented_3
data\include50\sequences\Adjectives\2. quiet\MVI_5340.npy,7,2. quiet,original
data\include50\augmented_train\MVI_5340_aug1.npy,7,2. quiet,augmented_1
data\include50\augmented_train\MVI_5340_aug2.npy,7,2. quiet,augmented_2
data\include50\augmented_train\MVI_5340_aug3.npy,7,2. quiet,augmented_3
data\include50\sequences\Electronics\54. Cell phone\MVI_4539.npy,28,54. Cell phone,original
data\include50\augmented_train\MVI_4539_aug1.npy,28,54. Cell phone,augmented_1
data\include50\augmented_train\MVI_4539_aug2.npy,28,54. Cell phone,augmented_2
data\include50\augmented_train\MVI_4539_aug3.npy,28,54. Cell phone,augmented_3
data\include50\sequences\Days_and_Time\78. Year\MVI_5048.npy,38,78. Year,original
data\include50\augmented_train\MVI_5048_aug1.npy,38,78. Year,augmented_1
data\include50\augmented_train\MVI_5048_aug2.npy,38,78. Year,augmented_2
data\include50\augmented_train\MVI_5048_aug3.npy,38,78. Year,augmented_3
data\include50\sequences\Electronics\53. Fan\MVI_4536.npy,26,53. Fan,original
data\include50\augmented_train\MVI_4536_aug1.npy,26,53. Fan,augmented_1
data\include50\augmented_train\MVI_4536_aug2.npy,26,53. Fan,augmented_2
data\include50\augmented_train\MVI_4536_aug3.npy,26,53. Fan,augmented_3
data\include50\sequences\Adjectives\83. big large\MVI_5125.npy,41,83. big large,original
data\include50\augmented_train\MVI_5125_aug1.npy,41,83. big large,augmented_1
data\include50\augmented_train\MVI_5125_aug2.npy,41,83. big large,augmented_2
data\include50\augmented_train\MVI_5125_aug3.npy,41,83. big large,augmented_3
data\include50\sequences\Adjectives\91. new\MVI_9423.npy,47,91. new,original
data\include50\augmented_train\MVI_9423_aug1.npy,47,91. new,augmented_1
data\include50\augmented_train\MVI_9423_aug2.npy,47,91. new,augmented_2
data\include50\augmented_train\MVI_9423_aug3.npy,47,91. new,augmented_3
data\include50\sequences\Society\2. Death\MVI_8663.npy,6,2. Death,original
data\include50\augmented_train\MVI_8663_aug1.npy,6,2. Death,augmented_1
data\include50\augmented_train\MVI_8663_aug2.npy,6,2. Death,augmented_2
data\include50\augmented_train\MVI_8663_aug3.npy,6,2. Death,augmented_3
data\include50\sequences\Electronics\54. Cell phone\MVI_4540.npy,28,54. Cell phone,original
data\include50\augmented_train\MVI_4540_aug1.npy,28,54. Cell phone,augmented_1
data\include50\augmented_train\MVI_4540_aug2.npy,28,54. Cell phone,augmented_2
data\include50\augmented_train\MVI_4540_aug3.npy,28,54. Cell phone,augmented_3
data\include50\sequences\Adjectives\3. happy\MVI_9456.npy,11,3. happy,original
data\include50\augmented_train\MVI_9456_aug1.npy,11,3. happy,augmented_1
data\include50\augmented_train\MVI_9456_aug2.npy,11,3. happy,augmented_2
data\include50\augmented_train\MVI_9456_aug3.npy,11,3. happy,augmented_3
data\include50\sequences\Pronouns\44. it\MVI_9899.npy,20,44. it,original
data\include50\augmented_train\MVI_9899_aug1.npy,20,44. it,augmented_1
data\include50\augmented_train\MVI_9899_aug2.npy,20,44. it,augmented_2
data\include50\augmented_train\MVI_9899_aug3.npy,20,44. it,augmented_3
data\include50\sequences\Seasons\61. Summer\MVI_4566.npy,32,61. Summer,original
data\include50\augmented_train\MVI_4566_aug1.npy,32,61. Summer,augmented_1
data\include50\augmented_train\MVI_4566_aug2.npy,32,61. Summer,augmented_2
data\include50\augmented_train\MVI_4566_aug3.npy,32,61. Summer,augmented_3
data\include50\sequences\Days_and_Time\86. Time\MVI_5525.npy,44,86. Time,original
data\include50\augmented_train\MVI_5525_aug1.npy,44,86. Time,augmented_1
data\include50\augmented_train\MVI_5525_aug2.npy,44,86. Time,augmented_2
data\include50\augmented_train\MVI_5525_aug3.npy,44,86. Time,augmented_3
data\include50\sequences\People\78. Girl\MVI_4115.npy,37,78. Girl,original
data\include50\augmented_train\MVI_4115_aug1.npy,37,78. Girl,augmented_1
data\include50\augmented_train\MVI_4115_aug2.npy,37,78. Girl,augmented_2
data\include50\augmented_train\MVI_4115_aug3.npy,37,78. Girl,augmented_3
data\include50\sequences\Pronouns\40. I\MVI_0001.npy,16,40. I,original
data\include50\augmented_train\MVI_0001_aug1.npy,16,40. I,augmented_1
data\include50\augmented_train\MVI_0001_aug2.npy,16,40. I,augmented_2
data\include50\augmented_train\MVI_0001_aug3.npy,16,40. I,augmented_3
data\include50\sequences\Adjectives\3. happy\MVI_9376.npy,11,3. happy,original
data\include50\augmented_train\MVI_9376_aug1.npy,11,3. happy,augmented_1
data\include50\augmented_train\MVI_9376_aug2.npy,11,3. happy,augmented_2
data\include50\augmented_train\MVI_9376_aug3.npy,11,3. happy,augmented_3
data\include50\sequences\Places\28. Store or Shop\MVI_3474.npy,9,28. Store or Shop,original
data\include50\augmented_train\MVI_3474_aug1.npy,9,28. Store or Shop,augmented_1
data\include50\augmented_train\MVI_3474_aug2.npy,9,28. Store or Shop,augmented_2
data\include50\augmented_train\MVI_3474_aug3.npy,9,28. Store or Shop,augmented_3
data\include50\sequences\Jobs\91. Priest\MVI_8888.npy,46,91. Priest,original
data\include50\augmented_train\MVI_8888_aug1.npy,46,91. Priest,augmented_1
data\include50\augmented_train\MVI_8888_aug2.npy,46,91. Priest,augmented_2
data\include50\augmented_train\MVI_8888_aug3.npy,46,91. Priest,augmented_3
data\include50\sequences\Adjectives\1. loud\MVI_5259.npy,1,1. loud,original
data\include50\augmented_train\MVI_5259_aug1.npy,1,1. loud,augmented_1
data\include50\augmented_train\MVI_5259_aug2.npy,1,1. loud,augmented_2
data\include50\augmented_train\MVI_5259_aug3.npy,1,1. loud,augmented_3
data\include50\sequences\Adjectives\3. happy\MVI_5183.npy,11,3. happy,original
data\include50\augmented_train\MVI_5183_aug1.npy,11,3. happy,augmented_1
data\include50\augmented_train\MVI_5183_aug2.npy,11,3. happy,augmented_2
data\include50\augmented_train\MVI_5183_aug3.npy,11,3. happy,augmented_3
data\include50\sequences\Greetings\55. Thank you\MVI_9950.npy,29,55. Thank you,original
data\include50\augmented_train\MVI_9950_aug1.npy,29,55. Thank you,augmented_1
data\include50\augmented_train\MVI_9950_aug2.npy,29,55. Thank you,augmented_2
data\include50\augmented_train\MVI_9950_aug3.npy,29,55. Thank you,augmented_3
data\include50\sequences\Adjectives\2. quiet\MVI_9292.npy,7,2. quiet,original
data\include50\augmented_train\MVI_9292_aug1.npy,7,2. quiet,augmented_1
data\include50\augmented_train\MVI_9292_aug2.npy,7,2. quiet,augmented_2
data\include50\augmented_train\MVI_9292_aug3.npy,7,2. quiet,augmented_3
data\include50\sequences\Home\40. Paint\MVI_4414.npy,17,40. Paint,original
data\include50\augmented_train\MVI_4414_aug1.npy,17,40. Paint,augmented_1
data\include50\augmented_train\MVI_4414_aug2.npy,17,40. Paint,augmented_2
data\include50\augmented_train\MVI_4414_aug3.npy,17,40. Paint,augmented_3
data\include50\sequences\Adjectives\3. happy\MVI_5342.npy,11,3. happy,original
data\include50\augmented_train\MVI_5342_aug1.npy,11,3. happy,augmented_1
data\include50\augmented_train\MVI_5342_aug2.npy,11,3. happy,augmented_2
data\include50\augmented_train\MVI_5342_aug3.npy,11,3. happy,augmented_3
data\include50\sequences\Colours\47. Red\MVI_5039.npy,22,47. Red,original
data\include50\augmented_train\MVI_5039_aug1.npy,22,47. Red,augmented_1
data\include50\augmented_train\MVI_5039_aug2.npy,22,47. Red,augmented_2
data\include50\augmented_train\MVI_5039_aug3.npy,22,47. Red,augmented_3
data\include50\sequences\Colours\54. Black\MVI_5208.npy,27,54. Black,original
data\include50\augmented_train\MVI_5208_aug1.npy,27,54. Black,augmented_1
data\include50\augmented_train\MVI_5208_aug2.npy,27,54. Black,augmented_2
data\include50\augmented_train\MVI_5208_aug3.npy,27,54. Black,augmented_3
data\include50\sequences\Days_and_Time\67. Monday\MVI_4591.npy,35,67. Monday,original
data\include50\augmented_train\MVI_4591_aug1.npy,35,67. Monday,augmented_1
data\include50\augmented_train\MVI_4591_aug2.npy,35,67. Monday,augmented_2
data\include50\augmented_train\MVI_4591_aug3.npy,35,67. Monday,augmented_3
data\include50\sequences\Adjectives\94. good\MVI_5318.npy,48,94. good,original
data\include50\augmented_train\MVI_5318_aug1.npy,48,94. good,augmented_1
data\include50\augmented_train\MVI_5318_aug2.npy,48,94. good,augmented_2
data\include50\augmented_train\MVI_5318_aug3.npy,48,94. good,augmented_3
data\include50\sequences\Pronouns\40. I\MVI_0012.npy,16,40. I,original
data\include50\augmented_train\MVI_0012_aug1.npy,16,40. I,augmented_1
data\include50\augmented_train\MVI_0012_aug2.npy,16,40. I,augmented_2
data\include50\augmented_train\MVI_0012_aug3.npy,16,40. I,augmented_3
data\include50\sequences\Colours\54. Black\MVI_3742.npy,27,54. Black,original
data\include50\augmented_train\MVI_3742_aug1.npy,27,54. Black,augmented_1
data\include50\augmented_train\MVI_3742_aug2.npy,27,54. Black,augmented_2
data\include50\augmented_train\MVI_3742_aug3.npy,27,54. Black,augmented_3
data\include50\sequences\Places\28. Store or Shop\MVI_3633.npy,9,28. Store or Shop,original
data\include50\augmented_train\MVI_3633_aug1.npy,9,28. Store or Shop,augmented_1
data\include50\augmented_train\MVI_3633_aug2.npy,9,28. Store or Shop,augmented_2
data\include50\augmented_train\MVI_3633_aug3.npy,9,28. Store or Shop,augmented_3
data\include50\sequences\Clothes\42. T-Shirt\MVI_4003.npy,18,42. T-Shirt,original
data\include50\augmented_train\MVI_4003_aug1.npy,18,42. T-Shirt,augmented_1
data\include50\augmented_train\MVI_4003_aug2.npy,18,42. T-Shirt,augmented_2
data\include50\augmented_train\MVI_4003_aug3.npy,18,42. T-Shirt,augmented_3
data\include50\sequences\Seasons\64. Fall\MVI_5433.npy,33,64. Fall,original
data\include50\augmented_train\MVI_5433_aug1.npy,33,64. Fall,augmented_1
data\include50\augmented_train\MVI_5433_aug2.npy,33,64. Fall,augmented_2
data\include50\augmented_train\MVI_5433_aug3.npy,33,64. Fall,augmented_3
data\include50\sequences\People\66. Brother\MVI_5245.npy,34,66. Brother,original
data\include50\augmented_train\MVI_5245_aug1.npy,34,66. Brother,augmented_1
data\include50\augmented_train\MVI_5245_aug2.npy,34,66. Brother,augmented_2
data\include50\augmented_train\MVI_5245_aug3.npy,34,66. Brother,augmented_3
data\include50\sequences\Clothes\44. Shoes\MVI_5176.npy,19,44. Shoes,original
data\include50\augmented_train\MVI_5176_aug1.npy,19,44. Shoes,augmented_1
data\include50\augmented_train\MVI_5176_aug2.npy,19,44. Shoes,augmented_2
data\include50\augmented_train\MVI_5176_aug3.npy,19,44. Shoes,augmented_3
data\include50\sequences\People\78. Girl\MVI_5290.npy,37,78. Girl,original
data\include50\augmented_train\MVI_5290_aug1.npy,37,78. Girl,augmented_1
data\include50\augmented_train\MVI_5290_aug2.npy,37,78. Girl,augmented_2
data\include50\augmented_train\MVI_5290_aug3.npy,37,78. Girl,augmented_3
data\include50\sequences\Home\28. Window\MVI_8769.npy,10,28. Window,original
data\include50\augmented_train\MVI_8769_aug1.npy,10,28. Window,augmented_1
data\include50\augmented_train\MVI_8769_aug2.npy,10,28. Window,augmented_2
data\include50\augmented_train\MVI_8769_aug3.npy,10,28. Window,augmented_3
data\include50\sequences\Places\19. House\MVI_3596.npy,5,19. House,original
data\include50\augmented_train\MVI_3596_aug1.npy,5,19. House,augmented_1
data\include50\augmented_train\MVI_3596_aug2.npy,5,19. House,augmented_2
data\include50\augmented_train\MVI_3596_aug3.npy,5,19. House,augmented_3
data\include50\sequences\Adjectives\2. quiet\MVI_9451.npy,7,2. quiet,original
data\include50\augmented_train\MVI_9451_aug1.npy,7,2. quiet,augmented_1
data\include50\augmented_train\MVI_9451_aug2.npy,7,2. quiet,augmented_2
data\include50\augmented_train\MVI_9451_aug3.npy,7,2. quiet,augmented_3
data\include50\sequences\Adjectives\91. new\MVI_9421.npy,47,91. new,original
data\include50\augmented_train\MVI_9421_aug1.npy,47,91. new,augmented_1
data\include50\augmented_train\MVI_9421_aug2.npy,47,91. new,augmented_2
data\include50\augmented_train\MVI_9421_aug3.npy,47,91. new,augmented_3
data\include50\sequences\Animals\4. Bird\MVI_3040.npy,15,4. Bird,original
data\include50\augmented_train\MVI_3040_aug1.npy,15,4. Bird,augmented_1
data\include50\augmented_train\MVI_3040_aug2.npy,15,4. Bird,augmented_2
data\include50\augmented_train\MVI_3040_aug3.npy,15,4. Bird,augmented_3
data\include50\sequences\Greetings\55. Thank you\MVI_0060.npy,29,55. Thank you,original
data\include50\augmented_train\MVI_0060_aug1.npy,29,55. Thank you,augmented_1
data\include50\augmented_train\MVI_0060_aug2.npy,29,55. Thank you,augmented_2
data\include50\augmented_train\MVI_0060_aug3.npy,29,55. Thank you,augmented_3
data\include50\sequences\Places\28. Store or Shop\MVI_3553.npy,9,28. Store or Shop,original
data\include50\augmented_train\MVI_3553_aug1.npy,9,28. Store or Shop,augmented_1
data\include50\augmented_train\MVI_3553_aug2.npy,9,28. Store or Shop,augmented_2
data\include50\augmented_train\MVI_3553_aug3.npy,9,28. Store or Shop,augmented_3
data\include50\sequences\Electronics\54. Cell phone\MVI_4969.npy,28,54. Cell phone,original
data\include50\augmented_train\MVI_4969_aug1.npy,28,54. Cell phone,augmented_1
data\include50\augmented_train\MVI_4969_aug2.npy,28,54. Cell phone,augmented_2
data\include50\augmented_train\MVI_4969_aug3.npy,28,54. Cell phone,augmented_3
data\include50\sequences\Seasons\64. Fall\MVI_4579.npy,33,64. Fall,original
data\include50\augmented_train\MVI_4579_aug1.npy,33,64. Fall,augmented_1
data\include50\augmented_train\MVI_4579_aug2.npy,33,64. Fall,augmented_2
data\include50\augmented_train\MVI_4579_aug3.npy,33,64. Fall,augmented_3
data\include50\sequences\People\77. Boy\MVI_3815.npy,36,77. Boy,original
data\include50\augmented_train\MVI_3815_aug1.npy,36,77. Boy,augmented_1
data\include50\augmented_train\MVI_3815_aug2.npy,36,77. Boy,augmented_2
data\include50\augmented_train\MVI_3815_aug3.npy,36,77. Boy,augmented_3
data\include50\sequences\Adjectives\3. happy\MVI_9375.npy,11,3. happy,original
data\include50\augmented_train\MVI_9375_aug1.npy,11,3. happy,augmented_1
data\include50\augmented_train\MVI_9375_aug2.npy,11,3. happy,augmented_2
data\include50\augmented_train\MVI_9375_aug3.npy,11,3. happy,augmented_3
data\include50\sequences\Greetings\55. Thank you\MVI_9987.npy,29,55. Thank you,original
data\include50\augmented_train\MVI_9987_aug1.npy,29,55. Thank you,augmented_1
data\include50\augmented_train\MVI_9987_aug2.npy,29,55. Thank you,augmented_2
data\include50\augmented_train\MVI_9987_aug3.npy,29,55. Thank you,augmented_3
data\include50\sequences\Adjectives\84. small little\MVI_9400.npy,43,84. small little,original
data\include50\augmented_train\MVI_9400_aug1.npy,43,84. small little,augmented_1
data\include50\augmented_train\MVI_9400_aug2.npy,43,84. small little,augmented_2
data\include50\augmented_train\MVI_9400_aug3.npy,43,84. small little,augmented_3
data\include50\sequences\Jobs\84. Teacher\MVI_4457.npy,42,84. Teacher,original
data\include50\augmented_train\MVI_4457_aug1.npy,42,84. Teacher,augmented_1
data\include50\augmented_train\MVI_4457_aug2.npy,42,84. Teacher,augmented_2
data\include50\augmented_train\MVI_4457_aug3.npy,42,84. Teacher,augmented_3
data\include50\sequences\People\77. Boy\MVI_3816.npy,36,77. Boy,original
data\include50\augmented_train\MVI_3816_aug1.npy,36,77. Boy,augmented_1
data\include50\augmented_train\MVI_3816_aug2.npy,36,77. Boy,augmented_2
data\include50\augmented_train\MVI_3816_aug3.npy,36,77. Boy,augmented_3
data\include50\sequences\Places\19. House\MVI_3516.npy,5,19. House,original
data\include50\augmented_train\MVI_3516_aug1.npy,5,19. House,augmented_1
data\include50\augmented_train\MVI_3516_aug2.npy,5,19. House,augmented_2
data\include50\augmented_train\MVI_3516_aug3.npy,5,19. House,augmented_3
data\include50\sequences\Greetings\51. Good Morning\MVI_9992.npy,25,51. Good Morning,original
data\include50\augmented_train\MVI_9992_aug1.npy,25,51. Good Morning,augmented_1
data\include50\augmented_train\MVI_9992_aug2.npy,25,51. Good Morning,augmented_2
data\include50\augmented_train\MVI_9992_aug3.npy,25,51. Good Morning,augmented_3
data\include50\sequences\Greetings\48. Hello\MVI_9917.npy,23,48. Hello,original
data\include50\augmented_train\MVI_9917_aug1.npy,23,48. Hello,augmented_1
data\include50\augmented_train\MVI_9917_aug2.npy,23,48. Hello,augmented_2
data\include50\augmented_train\MVI_9917_aug3.npy,23,48. Hello,augmented_3
data\include50\sequences\Adjectives\97. dry\MVI_5328.npy,49,97. dry,original
data\include50\augmented_train\MVI_5328_aug1.npy,49,97. dry,augmented_1
data\include50\augmented_train\MVI_5328_aug2.npy,49,97. dry,augmented_2
data\include50\augmented_train\MVI_5328_aug3.npy,49,97. dry,augmented_3
data\include50\sequences\Pronouns\40. I\MVI_0065.npy,16,40. I,original
data\include50\augmented_train\MVI_0065_aug1.npy,16,40. I,augmented_1
data\include50\augmented_train\MVI_0065_aug2.npy,16,40. I,augmented_2
data\include50\augmented_train\MVI_0065_aug3.npy,16,40. I,augmented_3
